ID,BARCODE,BRAND_CODE,CPG_ID,CATEGORY,CATEGORY_CODE,NAME,ROMANCE_TEXT,RELATED_BRAND_IDS
5a8c35dde4b0ccf165fac9e6,511111904175,PEPPERIDGE FARM,5a734034e4b0d58f376be874,Grocery,GROCERY,Pepperidge Farm,"Pepperidge Farm has been making exceptional cookies, crackers, breads, and more for over 80 years. Enjoy their wide selection of baked products with every meal and occassion.",
6234af8f4e09b6067c237adb,511111212997,CHEX MIX,6233966e8942a67af4934aa1,Snacks,SNACKS,CHEX MIX,,
5332f7d3e4b03c9a25efd14e,511111803393,,5332f5f2e4b03c9a25efd0aa,Snacks,SNACKS,Cheez-It,,
5d6412e9a3a018514994f426,511111304982,BETTER HOMES & GARDENS,53e10d6368abd3c7065097cc,Magazines,MAGAZINES,Better Homes & Gardens Magazine,"Better Homes & Gardens offers beautiful photography and tons of fresh, seasonal ideas for adding charm to your home. Improve your curb appeal and make your space extra cozy with this longstanding guide to home decor.",5d6413156d5f3b23d1bc790a : 5d6417dda3a018514994f42a : 5d6423ffa3a018514994f42c : 5d642d946d5f3b23d1bc7910
621e777eacedc065cefa99a7,511111912859,TRUVIA,621e7754d759b10969cbcc08,Baking,BAKING,Truvia®,,
5887a051e4b02187f85cdad0,511111401209,BAKER'S,53e10d6368abd3c7065097cc,Baking,BAKING,Baker's,"Baker's premium ingredients bring your baking inspiration to life with a variety of baking chocolates, dipping chocolates, and sweetened coconut flakes",
592486bee410d61fcea3d135,511111700746,PG TIPS,5332f5f6e4b03c9a25efd0b4,Beverages,BEVERAGES,PG Tips,"PG Tips strong, distinct blend comes from only ethical and sustainable sources, such as the Rainforest Alliance. A Unilever brand.",5a021611e4b00efe02b02a57 : 5f19ccb52455c943622ea633 : 5e816f9d4f392912df7c86d3
5887a0fde4b02187f85cdad1,511111801191,CAPRI SUN,53e10d6368abd3c7065097cc,Beverages,BEVERAGES,Capri Sun,"The go-to drink for real, active play. Explore the full range of varieties and flavors of refreshing drinks.",
5bd2011f90fa074576779a17,511111704652,HUGGIES,550b2565e4b001d5e9e4146f,Baby,BABY,Huggies,"The first moment you hug your baby, the rest of the world slowly melts away. Huggies® understands there is nothing more powerful than that moment and every moment that follows. That's why they designed their diapers to feel the same way. Trust Huggies® diapers and wipes through every family moment.",5c112616315a241ba1716511 : 5332f775e4b03c9a25efd127 : 5da603a71dda2c3e1416ae82 : 5bd201a990fa074576779a19
5332f6ede4b03c9a25efd0e5,511111603870,BLUE BUNNY,53e10d6368abd3c7065097cc,Frozen,FROZEN,Blue Bunny,,
592486bde410d61fcea3d120,511111500940,AXE,5332f5f6e4b03c9a25efd0b4,Personal Care,PERSONAL_CARE,Axe,"Explore Axe's universe of men's grooming products. From hair care, to deodorant, to fragrances and body washes, Axe has you covered literally from head to toe. A Unilever brand.",592486bde410d61fcea3d127 : 592486bee410d61fcea3d129 : 592486bfe410d61fcea3d13a
57ebc026e4b0ac389136a338,511111502098,KNUDSEN,53e10d6368abd3c7065097cc,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Knudsen,Delicious from the first bite. Knudsen cottage cheeses and sour creams are made with only the best. ,
60abff099b6e385567eee851,511111709848,LESTOIL,53e10d6368abd3c7065097cc,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,LESTOIL,,
5e7537244f392912df7c86d0,511111306672,VIZZY,5332f709e4b03c9a25efd0f1,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Vizzy,"Introducing Vizzy, a new and differentiated line of hard seltzers, made with Superfruit Acerola, juice and natural flavors. Crafted with only 100 calories, certified gluten free alcohol from real cane sugar and a 5% ALC/VOL, Vizzy makes life more refreshing. ",5a5d10b5e4b06ba572cf2497 : 5332f7eee4b03c9a25efd15e : 6283e91b35d18232b41644b3
