CREATED_DATE,BIRTH_DATE,GENDER,LAST_REWARDS_LOGIN,STATE,SIGN_UP_PLATFORM,SIGN_UP_SOURCE,ID
2021-12-20T00:29:17.118Z,1984-03-20T00:00:00Z,transgender,2023-01-04T16:32:15Z,FL,,Apple,61bfce5d6655417f803b6538
2021-10-21T17:15:25.825Z,1987-08-08T05:00:00Z,prefer_not_to_say,2023-01-04T16:04:33Z,PA,unknown,Google,6171a02d8034995a3d858fb3
2021-10-23T19:19:18.305Z,1995-06-18T05:00:00Z,male,2023-01-04T16:13:13Z,FL,,Apple,617460366e2684498143e769
2021-03-30T02:35:41.249Z,1999-08-23T07:00:00Z,transgender,2023-01-04T16:09:51Z,MI,ios,Google,60628e7d85cdff011de41113
2021-04-26T23:15:54.375Z,1992-10-28T16:16:23Z,male,2023-01-04T16:24:18Z,CA,andrioid,Email,608749aac63a95130a45fbf4
2021-09-14T15:19:23Z,1985-04-30T05:00:00Z,female,2023-01-04T16:25:50Z,OH,andrioid,Facebook,6140bd7bcb59cb0558ddd43e
2021-08-17T21:13:28.85Z,1964-05-13T04:00:00Z,prefer_not_to_say,2023-01-04T16:06:19Z,NY,ios,Apple,611c26782cacc93cd0230faa
2021-01-15T18:15:15.895Z,2003-08-07T04:00:00Z,female,2023-01-04T16:28:19Z,OH,ios,Facebook,6001dbb3878e221317c8a065
2021-11-21T19:43:20.717Z,1962-10-08T05:00:00Z,prefer_not_to_say,2023-01-04T16:24:04Z,MI,andrioid,Email,619aa15807acef7276e4f72c
2021-02-05T15:17:25.9Z,1953-05-23T05:00:00Z,prefer_not_to_say,2023-01-04T16:31:04Z,OH,,Facebook,601d61856788c012f7a1b276
2021-02-04T03:27:24.682Z,1973-07-06T00:00:00Z,transgender,2023-01-04T16:04:14Z,TX,,Facebook,601b699cdb2a8b12c5992640
2021-04-16T11:38:10.534Z,1955-04-04T05:00:00Z,transgender,2023-01-04T16:04:25Z,IL,ios,Email,607977220eb8310a043a61db
2021-12-30T21:43:36.219Z,1981-06-14T05:00:00Z,prefer_not_to_say,2023-01-04T16:31:08Z,IN,andrioid,Apple,61ce28087ef94f1a020d40ca
2021-09-05T13:33:26.945Z,1974-04-22T05:00:00Z,male,2023-01-04T16:04:24Z,CT,,Email,6134c726bb1615636197f943
2021-07-30T16:54:55.111Z,1968-09-29T00:00:00Z,female,2023-01-04T16:06:31Z,MN,unknown,Google,61042edf7504b75ef01a3562
2021-06-02T16:29:53.254Z,1964-04-30T05:00:00Z,female,2023-01-04T16:28:05Z,MI,ios,Apple,60b7b2011d501f6c02387b62
2021-09-07T12:09:38.685Z,1957-12-28T05:00:00Z,prefer_not_to_say,2023-01-04T16:16:48Z,NC,unknown,Apple,61375682c625197c5db73602
2021-07-08T11:03:06.855Z,1951-01-23T00:00:00Z,female,2023-01-04T16:18:07Z,NY,,Facebook,60e6db6a2d0e962c54b17eaf
2021-04-22T01:43:37.381Z,1992-07-22T00:00:00Z,male,2023-01-04T16:07:43Z,MD,ios,Apple,6080d4c9bae902014d9d4cc4
2021-05-09T03:28:30.955Z,1956-01-06T22:29:09Z,female,2023-01-04T16:19:35Z,MN,,Email,609756de547223427a2c627e
2021-03-27T00:22:05.507Z,1947-09-20T05:00:00Z,prefer_not_to_say,2023-01-04T16:27:54Z,TN,,Google,605e7aadb9a0295a6cd25294
2021-06-29T23:51:54.561Z,1958-05-21T00:00:00Z,prefer_not_to_say,2023-01-04T16:09:03Z,FL,ios,Email,60dbb21a5265346a3dbb7095
2021-09-23T17:16:26.578Z,1976-12-18T05:00:00Z,prefer_not_to_say,2023-01-04T16:05:05Z,TX,,Google,614cb66aa4e2a6269fc00aec
2021-10-01T22:41:26.419Z,1983-05-13T00:00:00Z,transgender,2023-01-04T17:03:36Z,FL,ios,Google,61578e96c2fb9321213720fc
2021-04-13T15:56:33.632Z,1977-08-29T04:00:00Z,transgender,2023-01-04T16:45:08Z,PR,andrioid,Facebook,6075bf31f5138a502a3e82b5
2021-07-08T02:13:42.007Z,1972-08-22T00:00:00Z,transgender,2023-01-04T16:42:53Z,FL,unknown,Google,60e65f562d0e962c54b11ff3
2021-07-17T14:10:17.322Z,1992-09-10T05:00:00Z,male,2023-01-04T17:03:23Z,NJ,,Facebook,60f2e4c937a39e73491ddbf4
2021-07-27T16:47:48.044Z,1975-01-19T04:00:00Z,male,2023-01-04T16:59:38Z,FL,andrioid,Google,610038b4f5d93a3f032387f0
2021-10-24T20:15:10.434Z,1986-07-04T00:00:00Z,prefer_not_to_say,2023-01-04T17:03:00Z,UT,andrioid,Google,6175becebb82f118a6e8b840
2021-01-01T13:53:36.994Z,1966-09-02T05:00:00Z,transgender,2023-01-04T16:59:08Z,NY,andrioid,Email,5fef29605b73fc128b245f36
2021-01-21T01:14:32.35Z,2003-09-15T05:00:00Z,prefer_not_to_say,2023-01-04T16:48:50Z,NC,ios,Email,6008d578986b2e12ebe6a197
2021-11-05T13:57:03.706Z,1992-06-14T00:00:00Z,female,2023-01-04T16:55:51Z,AZ,andrioid,Apple,6185382ff6305b3daddaa88d
2021-09-27T23:12:23.59Z,1989-09-09T00:00:00Z,transgender,2023-01-04T16:45:32Z,WI,andrioid,Apple,61524fd71427e044a5b5721e
2021-10-13T17:53:44.06Z,1987-08-21T04:00:00Z,transgender,2023-01-04T17:00:21Z,KY,andrioid,Google,61671d28d7bd1d50be050568
2021-11-27T03:10:15.313Z,1972-01-10T00:00:00Z,transgender,2023-01-04T16:59:13Z,NJ,ios,Email,61a1a19706570b5913a27b8c
2021-04-19T03:52:40.526Z,1974-02-03T07:00:00Z,male,2023-01-04T17:03:35Z,SC,andrioid,Google,607cfe881c7f7e6d7249b73a
2021-07-18T19:10:46.41Z,1981-07-14T00:00:00Z,prefer_not_to_say,2023-01-04T17:02:43Z,PR,unknown,Apple,60f47cb6d370a40dd6de45f0
2021-07-21T16:33:07.996Z,1964-06-03T07:00:00Z,female,2023-01-04T16:51:35Z,NV,ios,Facebook,60f84c4381e3cd0a49a11d86
2021-12-10T19:46:51.338Z,1988-08-15T00:00:00Z,male,2023-01-04T16:50:36Z,TX,andrioid,Apple,61b3aeab09f87d4328df1820
2021-03-09T01:35:48.855Z,1997-12-01T04:00:00Z,prefer_not_to_say,2023-01-04T16:44:02Z,NY,andrioid,Facebook,6046d0f4e5ec7a12aadff781
2021-08-06T16:48:43.776Z,1965-10-12T00:00:00Z,transgender,2023-01-04T16:34:05Z,NC,unknown,Facebook,610d67eb90b1714ee8a66944
2021-01-19T04:43:42.632Z,1979-05-13T00:00:00Z,male,2023-01-04T16:51:37Z,TX,andrioid,Email,6006637e964bbe129c1fbe69
2021-02-06T02:34:07.246Z,1958-03-16T04:00:00Z,female,2023-01-04T16:38:15Z,VA,andrioid,Apple,601e001f25fc3a12c13df281
2021-11-29T02:22:07.981Z,1998-08-20T06:00:00Z,transgender,2023-01-04T17:00:37Z,MS,,Apple,61a4394f07acef7276e6fef5
2021-09-25T23:31:37.694Z,1982-12-16T08:00:00Z,transgender,2023-01-04T17:02:41Z,NC,unknown,Google,614fb1590c788e7157f0b22f
